cliente,zona,sector,ejecutivo,tipo_cuenta,nivel_relacion,valoracion_relacion,estrategia,pasos_a_seguir
BBVA,CENTRO,FINANCIERO,KAROL LOPEZ,A,ALTO,POSITIVA,,
FALABELLA - BANCO,,FINANCIERO,KAROL LOPEZ,A,ALTO,POSITIVA,,
FALABELLA - RETAIL,,CORPORATIVO,KAROL LOPEZ,A,ALTO,POSITIVA,,
UNIVERSIDAD EXTERNADO DE COLOMBIA,CENTRO,EDUCACION,SOFIA PENALOSA,A,ALTO,POSITIVA,"Solucionar su necesidad de reportes gerenciales de ciberseguridad y gestion de riesgo

Insistir en la renovacion del WAF este año y en la adquisicion de una herramienta de analisis de Vulnerabilidades propia",Hacer presentacion de Tenable o vicarius (ya se presupuestaron 26K para 2026 para este proyecto)
COOPIDROGAS,CENTRO,RETAIL,SOFIA PENALOSA,A,ALTO,POSITIVA,"Rnovacion del contrato de SOC por 2 años con ing residente para operar y dar soporte a las herramientas Fortinet con el area de Riesgos

SD WAN proyecto de Infraestructura/conectividad - proximo a dimensionamiento

Ethical Hacking - participar en la invitacioneste año

Revisar con Riesgos la seguridad para asociados (2500 drogistas)","Retomar Observabilidad - PoC

Seguridad en Bases de datos

Retomar Sealpath - volver a cotizar, la PoC ya la terminamos

Presentar Estrategia de seguridad de datos"
ENFRAGEN,CENTRO,ENERGIA,SOFIA PENALOSA,A,ALTO,POSITIVA,"Renovacion tecnologica de LAN en plantas Colombia y Panama

Sensibilizacion de usuarios y directivos

Software de gestion de riesgos para el area de Ciberseguridad","Renovacion de PAM - caso de exito

Sacar las certificaciones de experiencia de los proyectos OT"
EFECTY,,,,,,,,
PERMODA LTDA,CENTRO,TEXTIL,CAROLINA VALERO,A,ALTO,POSITIVA,"Estrategia Financiera Inteligente
Con solo 500 millones:
Priorizar equipos críticos (core / data center / tiendas principales).
Diferir renovación de equipos secundarios si es viable.
Evaluar:
Leasing - Financiamiento 
Renovación por etapas (2025–2026)

Proyecto OT como Oportunidad Estratégica
El proyecto OT no debe competir con el firewall debe reforzarlo.","Presentar propuesta agresiva inicial (ancla alta con descuento visible).
Ofrecer escenario A / B / C:
A: Renovación completa
B: Renovación crítica + OT fase 1
C: Esquema financiado 

Amarrar OT como proyecto estratégico 2026.

Presentar una propuesta Integral que se denomine: ""Programa integral de resiliencia operativa 2025–2026""
Donde se incluyan los proyectos de Renovacion, OT y Observabilidad."
INTERRAPIDISIMO,CENTRO,MENSAJERIA Y ENVIOS,CAROLINA VALERO,A,ALTO,POSITIVA,Estrategia Comercial Servicios de Ciberseguridad.,Se esta buscando reunion para proponerle al cliente visita al SOC.
VANTI,CENTRO,ENERGÉTICO,CAROLINA VALERO,A,MEDIO,POSITIVA,"Estrategia para retomar el cliente y fortalecer el relacionamiento: 
Reactivar la relación (recuperar posicionamiento).
Entender nuevas prioridades del negocio.
Identificar proyectos estratégicos 2026.","Antes de Retomar:
Revisar noticias recientes (proyectos, regulación, expansión).

Identificar líderes clave (TI, Seguridad, Riesgos, Operaciones).

Analizar cambios regulatorios del sector energético."
FRONTERA ENERGY,CENTRO,ENERGÉTICO,CAROLINA VALERO,A,ALTO,POSITIVA,,
AECSA - ABOGADOS ESPECIALIZADOS EN COBRANZAS S.A,CENTRO,BPO,CAROLINA VALERO,A,ALTO,POSITIVA,,"Identificar líderes clave (TI, Seguridad, Riesgos, Operaciones)."
CYC SERVICES,CENTRO,BPO,CAROLINA VALERO,A,ALTO,POSITIVA,,
AUTOMÁS,CENTRO,AUTOMOTRIZ,CAROLINA VALERO,B,ALTO,POSITIVA,,Analizar cambios regulatorios del sector energético.
AUTOMOTORES TOYOTA,CENTRO,AUTOMOTRIZ,CAROLINA VALERO,B,ALTO,POSITIVA,,
COLGAS,CENTRO,ENERGETICO,CAROLINA VALERO,B,MEDIO,POSITIVA,,
ITALCOL,CENTRO,AGRONDUSTRIAL,CAROLINA VALERO,B,ALTO,POSITIVA,,
ARTURO CALLE,CENTRO,TEXTIL,CAROLINA VALERO,C,ALTO,POSITIVA,,
SYAC - SISTEMAS Y ASESORÍAS DE COLOMBIA S.A.S,CENTRO,SERVICIOS,CAROLINA VALERO,C,ALTO,POSITIVA,,
DECATHLON,CENTRO,RETAIL,CAROLINA VALERO,C,ALTO,POSITIVA,,
CAJA DE COMPENSACIÓN FAMILIAR CAFAM,CENTRO,COOPERATIVA,MARCELA RODRÍGUEZ,A,ALTO,POSITIVA,"Revisar proyecto de SASE - Netskope
Revisar infraestructura con Carlos Charcas para revisar Nutanix
Revisar Observabilidad
Presentarle estrategia de seguridad de datos a Alida Brigith
Presentarle Novasec a Alida Brigith","Monitoreo de marca AXUR: posicionar los servicios que complementen el servicio actual del cliente ya que Telefonica no cubre todo lo que ellos encesitan, por ejemplo monitoreo de logos.
PAM: Retomar la sesion con Senhasegura
Ethical Hacking: Seguimiento con Alida Brigith"
HOCOL S.A.,CENTRO,ENERGIA,MARCELA RODRÍGUEZ,B,MEDIO,POSITIVA,,
PRODUCTOS NATURALES DE LA SABANA S.A. ALQUERIA,CENTRO,INDUSTRIA,MARCELA RODRÍGUEZ,A,MEDIO,POSITIVA,,
TERMONORTE,CENTRO,ENERGIA,MARCELA RODRÍGUEZ,B,MEDIO,POSITIVA,,
UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES UDCA,CENTRO,EDUCACION,MARCELA RODRÍGUEZ,B,ALTO,POSITIVA,,
PRIMAX COLOMBIA,CENTRO,INDUSTRIA,MARCELA RODRÍGUEZ,A,MEDIO,POSITIVA,,
PRODUCTOS RAMO S.A.S.,CENTRO,INDUSTRIA,MARCELA RODRÍGUEZ,B,MEDIO,POSITIVA,,
CLUB LA PRADERA DE POTOSI,CENTRO,ENTRETENIMIENTO,MARCELA RODRÍGUEZ,B,MEDIO,POSITIVA,,
