cliente,servicio,detalle,categoria
HOCOL S.A.,ALMACENAMIENTO,"Hay una oportunidad, se esta trabajando .
Hoy tienen 300 TB.",NOTA
C.I. ACEPALMA S.A.,ALMACENAMIENTO,"Guardan los backups en un storage que ya cumplio su vida util en Bogota, y una copia en Santa Marta donde tienen un DC secundario pero tienen muchos problemas de energia por la xzona",NOTA
"UNIDAD ADMINISTRATIVA ESPECIAL AGENCIA DEL INSPECTOR GENERAL DE TRIBUTOS, RENTAS- ITRC.",ALMACENAMIENTO,Proyecto,NOTA
INSTITUTO NACIONAL DE METROLOGÍA,ALMACENAMIENTO,Fábrica: Veeam. Fecha de vencimiento:28/11/2026. Partner: Real Time,NOTA
RENTING COLOMBIA,ALMACENAMIENTO,DELL,NOTA
COMPAÑÍA DE FINANCIAMIENTO TUYA,ALMACENAMIENTO,DELL,NOTA
MRKETING PERSONAL,ALMACENAMIENTO,IBM,NOTA
BANCO MUNDO MUJER,ALMACENAMIENTO,IBM,NOTA
UNIVERSIDAD SANTIAGO DE CALI,ALMACENAMIENTO,HP,NOTA
UNIVERSIDAD EXTERNADO DE COLOMBIA,BACKUP,VEEAM,NOTA
PERMODA LTDA,BACKUP,"Marca:Veeam Backup
Partner: 
Fecha de renovación:",RENOVACION
HOCOL S.A.,BACKUP,"Hay una oportunidad, se esta trabajando 
Sale de un GAP analisis en CIS y NIST en 2025. Hoy hacen Backup u recuperacion con una empresa externa que custodia la data. Hoy tienen Dell - Networker y Acronis en OT.",NOTA
C.I. ACEPALMA S.A.,BACKUP,Usan veeam,NOTA
IKE ASISTENCIA,BACKUP,VEEAM,NOTA
GRANH THORTHON,BACKUP,"Marca: Veeam 
Partner:
Fecha de renovación:",RENOVACION
INSTITUTO NACIONAL DE METROLOGÍA,BACKUP,Fábrica: Veeam. Fecha de vencimiento: 28/11/2026. Partner: Real Time,NOTA
RENTING COLOMBIA,BACKUP,DELL,NOTA
COMPAÑÍA DE FINANCIAMIENTO TUYA,BACKUP,DELL,NOTA
ANTIOQUEÑA DE PORCINOS,BACKUP,Veeam,NOTA
TECNOQUIMICAS,BACKUP,Veeam,NOTA
UNIVERSIDAD SANTIAGO DE CALI,BACKUP,Veeam,NOTA
CARTONES AMERICA,BACKUP,Marca: AWS - RDS (backup) security HOP,NOTA
INSTITUTO CIEGOS Y SORDOS,BACKUP,"Marca: indigo smart solutions
Parnert: indigo smart solutions
Fecha de renovación: ??",RENOVACION
TECNOQUIMICAS,CIBERSEGURIDAD DE LA IA,Implementando Copilot para toda la empresa  | Como asegurar la información,NOTA
GRUPO CIBEST,CRIPTOGRAFIA POST-CUANTICA,Actualmente estamos en exploración con AnkaSecure,NOTA
TECNOQUIMICAS,CRIPTOGRAFIA POST-CUANTICA,Tienen una gerencia especifica de desarrollo. Revisar el tema con Hector,NOTA
UNIVERSIDAD EXTERNADO DE COLOMBIA,MONITOREO DE AMENAZAS (CSOC),Fecha de renovación: 2028,RENOVACION
COOPIDROGAS,MONITOREO DE AMENAZAS (CSOC),Fecha de renovación: 2027,RENOVACION
ENFRAGEN,MONITOREO DE AMENAZAS (CSOC),"Marca: PELLERA CYBOLT
Partner: Partner de USA
Fecha de renovación: 2029",RENOVACION
PERMODA LTDA,MONITOREO DE AMENAZAS (CSOC),"Marca: ESET Protect MDR
Partner: ESET
Fecha de renovación: 1 Dic 2026",RENOVACION
INTERRAPIDISIMO,MONITOREO DE AMENAZAS (CSOC),"Marca: MNEMO
Partner: Directo
Fecha de renovación: 1 Jun 2026",RENOVACION
FRONTERA ENERGY,MONITOREO DE AMENAZAS (CSOC),"Marca: MICROSOFT
Partner:
Fecha de renovación:",RENOVACION
CAJA DE COMPENSACIÓN FAMILIAR CAFAM,MONITOREO DE AMENAZAS (CSOC),"Marca: Tienen El servicio con TELEFONICA 
Partner: TELEFONICA
Fecha de renovación: 2027",RENOVACION
C.I. ACEPALMA S.A.,MONITOREO DE AMENAZAS (CSOC),Necesitan,NOTA
CORPORACIÓN MALOKA,MONITOREO DE AMENAZAS (CSOC),Quieren revisar LUMU,NOTA
GRANH THORTHON,MONITOREO DE AMENAZAS (CSOC),"Hicimos PoC con Lumu en Q4/2025, Retomar!",NOTA
BANCO ITAU,MONITOREO DE AMENAZAS (CSOC),DESDE BRASIL AGOSTO 2026,NOTA
INSTITUTO NACIONAL DE METROLOGÍA,MONITOREO DE AMENAZAS (CSOC),Fábrica: Fortinet/Darktrace.Fecha de vencimiento: 30/03/2026,NOTA
